path,type,classification,action,reason,tracked_by_git_if_known
medium_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_rprop_300_lbfgs_0_gradient_numerical_coordnorm2x2_default_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_rprop_300_lbfgs_0_gradient_numerical_coordnorm2x2_intact_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_rprop_300_lbfgs_0_gradient_numerical_coordnorm2x2_default_none,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_rprop_300_lbfgs_0_gradient_numerical_coordnorm2x2_intact_none,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
mesh_l0_diagnostics.csv,file,generated debug CSV/NPZ/output file to delete,delete,root generated diagnostic summary,not_applicable_real_project_not_git_repo
mesh_l0_diagnostics.py,file,one-off debug script to delete,delete,one-off root diagnostic script,not_applicable_real_project_not_git_repo
mesh_l0_diagnostics_summary.txt,file,generated debug CSV/NPZ/output file to delete,delete,root generated diagnostic summary,not_applicable_real_project_not_git_repo
mixed_mode_tm.py,file,source code to keep,keep,formal source/input file,not_applicable_real_project_not_git_repo
outputs,dir,source code to keep,keep,managed/source directory,not_applicable_real_project_not_git_repo
PLATFORM_EQUIVALENCE_DIAGNOSTIC_REPORT.md,file,documentation to keep,keep,documentation/report retained for context,not_applicable_real_project_not_git_repo
plot_clean_tm_results.py,file,obsolete compatibility wrapper to delete or deprecate,delete,old user-facing wrapper replaced by functional script name,not_applicable_real_project_not_git_repo
plot_results.py,file,source code to keep,keep,formal source/input file,not_applicable_real_project_not_git_repo
postprocess_results.py,file,source code to keep,keep,formal source/input file,not_applicable_real_project_not_git_repo
POSTPROCESS_WORKFLOW.md,file,documentation to keep,keep,documentation/report retained for context,not_applicable_real_project_not_git_repo
PROJECT_STRUCTURE.md,file,documentation to keep,keep,documentation/report retained for context,not_applicable_real_project_not_git_repo
README.md,file,documentation to keep,keep,documentation/report retained for context,not_applicable_real_project_not_git_repo
results,dir,generated training result folder to delete,delete,legacy root result directory,not_applicable_real_project_not_git_repo
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_handoff_smoke,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_coord_unitbox_coupled_smoke,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_rprop_1_lbfgs_0_gradient_numerical_topufree_smoke,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_smoke_micro_check,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_stage2_smoke,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_phase_current_mechanics_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_stage4_splitgrad_smoke,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_stage2_smoke_history,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_stage4_history_default_smoke,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_uniform_root_smoke,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_solve_staggered_iters_1_rprop_1_lbfgs_0_gradient_numerical_true_staggered_smoke,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_rprop_1_lbfgs_0_gradient_numerical_auto_ckpt_default_smoke,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
softening_gate_D0040_logs,dir,generated log folder to delete,delete,root log directory,not_applicable_real_project_not_git_repo
source,dir,source code to keep,keep,managed/source directory,not_applicable_real_project_not_git_repo
stage6_l0_sensitivity_summary.csv,file,generated debug CSV/NPZ/output file to delete,delete,root generated diagnostic summary,not_applicable_real_project_not_git_repo
tests,dir,source code to keep,keep,managed/source directory,not_applicable_real_project_not_git_repo
top_u_free_final_comparison.csv,file,generated debug CSV/NPZ/output file to delete,delete,root generated diagnostic summary,not_applicable_real_project_not_git_repo
train_mixed_tm.py,file,source code to keep,keep,formal source/input file,not_applicable_real_project_not_git_repo
TRUE_STAGGERED_DIAGNOSTIC_REPORT.md,file,documentation to keep,keep,documentation/report retained for context,not_applicable_real_project_not_git_repo
UNIFORM_BACKGROUND_DAMAGE_ROOT_CAUSE_REPORT.md,file,documentation to keep,keep,documentation/report retained for context,not_applicable_real_project_not_git_repo
uniform_damage_phase_proximal_sweep_summary.csv,file,generated debug CSV/NPZ/output file to delete,delete,root generated diagnostic summary,not_applicable_real_project_not_git_repo
validate_mechanics_target.py,file,one-off debug script to delete,delete,one-off root diagnostic script,not_applicable_real_project_not_git_repo
